"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/1996","11.50","11.31","11.56","11.12","956.60K","1.05%"
"09/01/1996","11.38","11.19","11.62","11.00","950.80K","1.70%"
"08/01/1996","11.19","10.75","11.88","10.56","1.48M","3.52%"
"07/01/1996","10.81","10.38","10.81","10.19","2.50M","4.14%"
"06/01/1996","10.38","10.38","10.69","10.12","1.55M","-0.57%"
"05/01/1996","10.44","10.12","10.44","9.75","1.34M","3.16%"
"04/01/1996","10.12","10.44","10.44","9.88","1.49M","-2.50%"
"03/01/1996","10.38","10.75","11.25","10.12","1.13M","-3.98%"
"02/01/1996","10.81","11.44","11.56","10.31","1.22M","-6.49%"
"01/01/1996","11.56","11.25","11.62","10.81","1.71M","2.76%"
"12/01/1995","11.25","9.75","11.25","9.56","1.96M","15.38%"
"11/01/1995","9.75","9.81","9.94","9.69","2.33M","-0.61%"
"10/01/1995","9.81","10.56","10.56","9.81","622.60K","-7.10%"
"09/01/1995","10.56","10.75","10.81","10.12","756.20K","-2.31%"
"08/01/1995","10.81","10.81","11.06","10.38","759.20K","0.56%"
"07/01/1995","10.75","10.56","10.94","10.25","729.80K","1.80%"
"06/01/1995","10.56","9.94","10.56","9.81","624.80K","6.88%"
"05/01/1995","9.88","9.00","10.75","9.00","1.38M","7.51%"
"04/01/1995","9.19","8.94","9.31","8.94","576.40K","1.43%"
"03/01/1995","9.06","9.50","9.50","8.81","698.20K","-4.63%"
"02/01/1995","9.50","8.81","9.62","8.69","950.80K","6.98%"
"01/01/1995","8.88","8.44","9.06","8.19","578.80K","3.74%"
