"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2016","177.38","176.61","180.36","166.05","54.71M","-0.21%"
"01/01/2016","177.75","183.77","185.12","165.96","82.62M","-4.91%"
"12/01/2015","186.93","192.05","193.45","183.31","62.49M","-2.32%"
"11/01/2015","191.37","190.98","194.06","185.36","38.63M","0.43%"
"10/01/2015","190.56","175.97","192.00","173.35","38.18M","8.45%"
"09/01/2015","175.71","177.11","185.99","171.36","57.67M","-2.98%"
"08/01/2015","181.11","193.00","193.75","168.08","75.87M","-6.14%"
"07/01/2015","192.95","190.65","195.46","187.19","35.09M","2.18%"
"06/01/2015","188.84","194.23","195.53","188.24","32.51M","-2.40%"
"05/01/2015","193.49","191.96","195.95","189.53","25.76M","1.25%"
"04/01/2015","191.10","189.17","194.74","187.47","30.25M","1.00%"
"03/01/2015","189.20","193.31","194.47","187.15","35.63M","-2.07%"
"02/01/2015","193.20","183.50","194.65","181.47","30.74M","5.58%"
"01/01/2015","182.99","189.29","189.72","182.09","51.63M","-2.87%"
"12/01/2014","188.40","189.29","191.63","181.44","49.04M","-0.86%"
"11/01/2014","190.03","185.20","190.63","183.45","27.70M","2.76%"
"10/01/2014","184.93","180.34","185.05","166.85","47.16M","2.40%"
"09/01/2014","180.59","184.30","185.84","179.77","17.07M","-1.85%"
"08/01/2014","183.99","176.52","184.17","174.70","23.87M","3.97%"
"07/01/2014","176.96","179.88","182.50","176.96","18.90M","-1.38%"
"06/01/2014","179.43","176.83","180.57","175.94","19.36M","1.63%"
"05/01/2014","176.55","172.50","176.69","170.44","20.61M","2.29%"
"04/01/2014","172.59","171.87","173.82","166.11","27.50M","0.72%"
"03/01/2014","171.35","169.19","173.19","168.38","24.62M","0.42%"
"02/01/2014","170.63","163.02","171.47","159.18","24.17M","4.57%"
"01/01/2014","163.18","168.53","169.43","162.07","29.64M","-3.53%"
"12/01/2013","169.15","165.95","169.23","162.01","31.09M","2.08%"
"11/01/2013","165.70","161.28","166.51","160.10","26.12M","3.00%"
"10/01/2013","160.88","154.04","162.62","150.72","34.40M","4.47%"
"09/01/2013","154.00","151.32","159.04","149.94","23.48M","2.87%"
"08/01/2013","149.70","155.68","156.62","149.34","14.87M","-3.08%"
"07/01/2013","154.46","147.74","155.61","146.76","16.70M","5.30%"
"06/01/2013","146.68","150.06","152.00","142.66","26.01M","-2.00%"
"05/01/2013","149.68","145.92","154.85","144.78","14.07M","2.32%"
"04/01/2013","146.28","143.40","146.28","140.58","18.85M","2.09%"
"03/01/2013","143.28","138.32","143.62","137.74","14.61M","3.12%"
"02/01/2013","138.94","137.98","140.36","136.22","16.93M","1.33%"
"01/01/2013","137.12","132.94","138.20","132.56","18.93M","5.17%"
"12/01/2012","130.38","130.74","133.32","127.80","11.73M","0.29%"
"11/01/2012","130.00","129.72","131.58","123.38","9.40M","0.57%"
"10/01/2012","129.26","132.30","134.72","128.54","7.82M","-1.96%"
"09/01/2012","131.84","129.14","135.58","128.24","8.06M","2.03%"
"08/01/2012","129.22","126.88","130.94","124.08","8.24M","2.51%"
"07/01/2012","126.06","124.90","127.46","121.32","8.48M","1.20%"
"06/01/2012","124.56","118.34","125.30","116.34","7.56M","3.59%"
"05/01/2012","120.24","127.96","129.60","118.55","10.44M","-6.00%"
"04/01/2012","127.92","128.74","130.12","124.22","9.61M","-0.64%"
"03/01/2012","128.74","125.64","129.84","122.90","10.07M","2.84%"
"02/01/2012","125.18","121.00","126.39","120.86","5.17M","4.28%"
"01/01/2012","120.04","116.90","122.00","115.68","4.41M","4.47%"
"12/01/2011","114.90","114.14","118.16","110.44","7.92M","0.52%"
